file_size,file_count,user,system,total
1000,1000,0.91,6.62,88.17
1000,2000,1.79,13.45,235.18
1000,4000,3.56,27.30,482.60
1000,10000,9.55,70.88,980.70
1000,20000,19.10,150.09,1247.27
1000,100000,105.49,1124.04,7082.85
2000,1000,0.85,6.50,51.36
2000,2000,1.76,13.10,129.55
2000,4000,3.64,26.48,252.26
2000,10000,9.23,69.25,624.75
2000,20000,19.46,149.58,1333.20
2000,100000,102.54,1074.55,6801.09
4000,1000,0.87,6.46,73.49
4000,2000,1.83,12.96,125.82
4000,4000,3.58,26.62,252.71
4000,10000,9.27,69.50,655.62
4000,20000,19.88,148.69,1295.76
4000,100000,103.25,1080.79,6987.39
8000,1000,0.93,6.44,77.23
8000,2000,1.79,13.12,147.51
8000,4000,3.64,26.70,291.42
8000,10000,9.50,69.01,715.74
8000,20000,19.74,149.33,1341.29
8000,100000,104.67,1086.60,7341.24
40000,1000,0.85,6.56,59.72
40000,2000,1.77,13.12,108.99
40000,4000,3.46,26.90,238.37
40000,10000,9.49,70.47,878.45
40000,20000,20.07,152.07,1204.88
40000,100000,110.08,1134.24,6814.37
1000000,1000,1.05,10.05,70.13
1000000,2000,2.08,20.24,146.73
1000000,4000,4.00,41.31,297.31
1000000,10000,10.73,106.79,772.16
1000000,20000,23.16,228.62,1555.82
1000000,100000,132.04,1624.23,8221.44
2000000,1000,1.03,12.28,111.50
2000000,2000,2.14,26.21,179.47
2000000,4000,4.09,50.67,374.48
2000000,10000,10.65,129.71,919.73
2000000,20000,22.71,271.40,1805.22
2000000,100000,138.13,1869.00,9584.44
4000000,1000,0.96,16.12,124.95
4000000,2000,2.00,32.95,223.06
4000000,4000,4.09,65.52,459.19
4000000,10000,10.79,168.79,1124.00
4000000,20000,23.16,352.60,2244.08
4000000,100000,141.02,2275.36,11582.82
8000000,1000,0.95,23.71,165.61
8000000,2000,2.18,49.78,310.55
8000000,4000,4.12,97.73,662.28
8000000,10000,11.11,249.35,1608.66
8000000,20000,23.84,511.22,3182.11
8000000,100000,144.21,3118.32,16351.39
