file_size,file_count,user,system,total
1000,1000,0.00,0.01,0.18 
1000,2000,0.00,0.02,0.17 
1000,4000,0.00,0.04,0.37 
1000,10000,0.02,0.11,1.28 
1000,20000,0.03,0.23,3.88 
1000,100000,0.24,1.08,71.35 
2000,1000,0.00,0.01,0.08 
2000,2000,0.00,0.02,1.34 
2000,4000,0.00,0.04,0.27 
2000,10000,0.01,0.11,1.35 
2000,20000,0.03,0.22,3.81 
2000,100000,0.20,1.16,68.88 
4000,1000,0.00,0.01,0.08 
4000,2000,0.00,0.02,0.21 
4000,4000,0.00,0.04,0.36 
4000,10000,0.01,0.11,1.36 
4000,20000,0.04,0.22,4.00 
4000,100000,0.07,0.45,11.89 
8000,1000,0.00,0.01,0.09 
8000,2000,0.00,0.02,0.19 
8000,4000,0.00,0.04,0.35 
8000,10000,0.01,0.11,1.31 
8000,20000,0.04,0.22,3.98 
8000,100000,0.21,1.21,156.07 
40000,1000,0.00,0.01,0.08 
40000,2000,0.00,0.02,0.17 
40000,4000,0.01,0.04,0.37 
40000,10000,0.01,0.11,1.36 
40000,20000,0.04,0.22,3.84 
40000,100000,0.24,1.26,120.86 
1000000,1000,0.00,0.01,0.08 
1000000,2000,0.00,0.02,0.17 
1000000,4000,0.01,0.04,0.37 
1000000,10000,0.01,0.11,1.31 
1000000,20000,0.05,0.22,4.03 
1000000,100000,0.18,1.24,138.99 
2000000,1000,0.00,0.00,0.00 
2000000,2000,0.00,0.00,0.00 
2000000,4000,0.00,0.00,0.00 
2000000,10000,0.00,0.00,0.01 
2000000,20000,0.00,0.00,0.00 
2000000,100000,0.00,0.00,0.00 
4000000,1000,0.00,0.00,0.00 
4000000,2000,0.00,0.00,0.00 
4000000,4000,0.00,0.00,0.00 
4000000,10000,0.00,0.00,0.00 
4000000,20000,0.00,0.00,0.00 
4000000,100000,0.00,0.00,0.00 
8000000,1000,0.00,0.00,0.00 
8000000,2000,0.00,0.00,0.00 
8000000,4000,0.00,0.00,0.00 
8000000,10000,0.00,0.00,0.00 
8000000,20000,0.00,0.00,0.00 
8000000,100000,0.00,0.00,0.00 
