file_size,file_count,user,system,total
1000,1000,0.00,0.01,0.13 
1000,2000,0.00,0.02,0.18 
1000,4000,0.00,0.04,0.36 
1000,10000,0.00,0.10,1.26 
1000,20000,0.02,0.20,4.03 
1000,100000,0.11,1.15,67.95 
2000,1000,0.00,0.01,0.07 
2000,2000,0.00,0.02,0.16 
2000,4000,0.00,0.04,0.38 
2000,10000,0.01,0.10,1.31 
2000,20000,0.02,0.21,4.10 
2000,100000,0.10,1.12,66.84 
4000,1000,0.00,0.01,0.08 
4000,2000,0.00,0.02,0.16 
4000,4000,0.00,0.04,0.35 
4000,10000,0.01,0.10,1.30 
4000,20000,0.01,0.22,4.16 
4000,100000,0.03,0.42,11.26 
8000,1000,0.00,0.01,0.11 
8000,2000,0.00,0.02,0.16 
8000,4000,0.00,0.04,0.38 
8000,10000,0.01,0.09,1.33 
8000,20000,0.02,0.20,4.11 
8000,100000,0.09,1.15,83.42 
40000,1000,0.00,0.01,0.08 
40000,2000,0.00,0.02,0.17 
40000,4000,0.00,0.04,1.98 
40000,10000,0.01,0.10,4.24 
40000,20000,0.01,0.22,10.45 
40000,100000,0.11,1.14,186.89 
1000000,1000,0.00,0.01,0.08 
1000000,2000,0.00,0.02,0.17 
1000000,4000,0.00,0.04,0.35 
1000000,10000,0.00,0.10,1.33 
1000000,20000,0.02,0.20,3.90 
1000000,100000,0.07,1.21,66.65 
2000000,1000,0.00,0.00,0.00 
2000000,2000,0.00,0.00,0.00 
2000000,4000,0.00,0.00,0.00 
2000000,10000,0.00,0.00,0.00 
2000000,20000,0.00,0.00,0.00 
2000000,100000,0.00,0.00,0.00 
4000000,1000,0.00,0.00,0.00 
4000000,2000,0.00,0.00,0.00 
4000000,4000,0.00,0.00,0.00 
4000000,10000,0.00,0.00,0.00 
4000000,20000,0.00,0.00,0.00 
4000000,100000,0.00,0.00,0.00 
8000000,1000,0.00,0.00,0.00 
8000000,2000,0.00,0.00,0.00 
8000000,4000,0.00,0.00,0.00 
8000000,10000,0.00,0.00,0.00 
8000000,20000,0.00,0.00,0.00 
8000000,100000,0.00,0.00,0.00 
