file_size,file_count,user,system,total
1000,1000,0.35,2.32,3.18 
1000,2000,0.47,4.96,7.35 
1000,4000,1.02,10.23,16.19 
1000,10000,2.22,28.79,46.00 
1000,20000,5.95,66.78,106.13 
1000,100000,35.11,770.61,995.13 
2000,1000,0.25,2.43,3.23 
2000,2000,0.50,4.94,7.39 
2000,4000,1.08,10.22,16.10 
2000,10000,2.23,29.17,46.10 
2000,20000,5.94,67.68,107.12 
2000,100000,35.22,760.84,985.00 
4000,1000,0.33,2.33,3.11 
4000,2000,0.49,4.96,7.72 
4000,4000,0.90,10.37,16.04 
4000,10000,2.11,28.86,45.80 
4000,20000,5.77,66.25,105.85 
4000,100000,7.98,166.16,250.11 
8000,1000,0.29,2.37,3.13 
8000,2000,0.52,4.91,7.47 
8000,4000,1.00,10.31,16.40 
8000,10000,2.60,28.31,46.41 
8000,20000,6.22,66.38,106.85 
8000,100000,35.51,760.54,988.31 
40000,1000,0.30,2.38,3.16 
40000,2000,0.43,5.04,7.60 
40000,4000,1.05,10.36,16.45 
40000,10000,2.87,28.20,49.47 
40000,20000,6.31,66.33,106.61 
40000,100000,34.63,758.48,983.77 
1000000,1000,0.28,2.38,3.16 
1000000,2000,0.55,4.90,7.44 
1000000,4000,1.06,10.18,16.16 
1000000,10000,2.39,28.86,46.40 
1000000,20000,5.90,68.75,107.40 
1000000,100000,34.57,752.36,979.46 
2000000,1000,0.00,0.00,0.01 
2000000,2000,0.00,0.00,0.01 
2000000,4000,0.00,0.00,0.01 
2000000,10000,0.00,0.00,0.01 
2000000,20000,0.00,0.00,0.01 
2000000,100000,0.00,0.00,0.01 
4000000,1000,0.00,0.00,0.01 
4000000,2000,0.00,0.00,0.01 
4000000,4000,0.00,0.00,0.03 
4000000,10000,0.00,0.00,0.01 
4000000,20000,0.00,0.00,0.01 
4000000,100000,0.00,0.00,0.01 
8000000,1000,0.00,0.00,0.01 
8000000,2000,0.00,0.00,0.01 
8000000,4000,0.00,0.00,0.01 
8000000,10000,0.00,0.00,0.01 
8000000,20000,0.00,0.00,0.01 
8000000,100000,0.00,0.00,0.01 
