file_size,file_count,user,system,total
1000,1000,0.46,3.98,21.15
1000,2000,1.12,9.15,56.12
1000,4000,2.29,19.88,74.14
1000,10000,4.84,53.56,192.83
1000,20000,11.55,130.44,409.75
1000,100000,46.90,1445.43,2955.29
2000,1000,0.38,3.94,17.96
2000,2000,0.85,8.10,35.99
2000,4000,2.17,19.69,73.98
2000,10000,5.22,52.01,200.19
2000,20000,8.12,114.24,404.14
2000,100000,43.05,1312.73,2826.76
4000,1000,0.42,3.95,17.81
4000,2000,1.00,8.17,38.57
4000,4000,2.23,19.30,74.64
4000,10000,5.13,51.96,191.89
4000,20000,8.40,113.87,415.95
4000,100000,53.72,1279.73,2797.47
8000,1000,0.43,3.96,17.92
8000,2000,0.87,8.07,36.37
8000,4000,2.22,18.96,74.81
8000,10000,5.18,51.69,193.75
8000,20000,8.18,113.61,410.81
8000,100000,48.35,1280.31,2800.73
40000,1000,0.36,3.94,18.26
40000,2000,0.94,8.26,36.66
40000,4000,2.19,19.35,74.07
40000,10000,5.27,52.17,193.12
40000,20000,8.15,115.83,406.41
40000,100000,52.91,1272.13,2794.00
1000000,1000,0.42,3.87,18.14
1000000,2000,0.87,7.94,36.52
1000000,4000,2.35,18.92,73.46
1000000,10000,5.19,52.31,190.74
1000000,20000,9.90,115.46,403.05
1000000,100000,46.60,1281.81,2796.67
2000000,1000,0.34,4.00,17.95
2000000,2000,0.89,8.41,36.23
2000000,4000,2.08,18.57,75.65
2000000,10000,5.13,51.78,189.67
2000000,20000,8.24,113.47,406.22
2000000,100000,49.72,1272.45,2785.26
4000000,1000,0.42,3.96,17.96
4000000,2000,0.96,8.13,37.25
4000000,4000,2.57,19.61,75.36
4000000,10000,5.31,51.90,190.49
4000000,20000,8.71,113.10,398.88
4000000,100000,45.70,1284.49,2804.74
8000000,1000,0.35,3.88,17.93
8000000,2000,0.80,8.34,36.49
8000000,4000,2.33,19.89,79.19
8000000,10000,4.83,53.78,194.32
8000000,20000,10.80,136.00,419.71
8000000,100000,43.57,1639.89,3192.49
