file_size,file_count,user,system,total
1000,1000,0.00,0.00,0.40
1000,2000,0.00,0.01,0.20
1000,4000,0.00,0.02,0.41
1000,10000,0.00,0.05,1.43
1000,20000,0.01,0.11,5.80
1000,100000,0.07,0.67,67.83
2000,1000,0.00,0.00,0.09
2000,2000,0.00,0.01,0.19
2000,4000,0.00,0.02,0.41
2000,10000,0.00,0.06,1.43
2000,20000,0.01,0.12,5.72
2000,100000,0.09,0.70,64.77
4000,1000,0.00,0.00,0.10
4000,2000,0.00,0.01,0.19
4000,4000,0.00,0.02,0.36
4000,10000,0.00,0.06,1.47
4000,20000,0.01,0.13,4.31
4000,100000,0.10,0.70,63.09
8000,1000,0.00,0.00,0.08
8000,2000,0.00,0.01,0.19
8000,4000,0.00,0.02,0.37
8000,10000,0.00,0.06,1.49
8000,20000,0.01,0.12,4.02
8000,100000,0.09,0.72,62.12
40000,1000,0.00,0.00,0.07
40000,2000,0.00,0.01,0.14
40000,4000,0.00,0.02,0.33
40000,10000,0.00,0.06,1.26
40000,20000,0.01,0.13,3.91
40000,100000,0.08,0.73,82.20
1000000,1000,0.00,0.00,0.08
1000000,2000,0.00,0.01,0.16
1000000,4000,0.00,0.02,0.34
1000000,10000,0.00,0.06,1.34
1000000,20000,0.01,0.13,4.15
1000000,100000,0.08,0.69,62.18
2000000,1000,0.00,0.00,0.09
2000000,2000,0.00,0.01,0.16
2000000,4000,0.00,0.02,0.34
2000000,10000,0.00,0.06,1.36
2000000,20000,0.01,0.13,3.98
2000000,100000,0.08,0.75,68.94
4000000,1000,0.00,0.01,0.08
4000000,2000,0.00,0.01,0.17
4000000,4000,0.00,0.02,0.34
4000000,10000,0.01,0.06,1.40
4000000,20000,0.01,0.13,4.02
4000000,100000,0.09,0.71,68.68
8000000,1000,0.00,0.00,0.06
8000000,2000,0.00,0.01,0.18
8000000,4000,0.00,0.02,0.34
8000000,10000,0.00,0.07,1.29
8000000,20000,0.02,0.13,3.91
8000000,100000,0.08,0.77,94.98
