file_size,file_count,user,system,total
1000,1000,0.42,2.25,3.16
1000,2000,0.54,4.89,7.25
1000,4000,0.98,10.25,16.30
1000,10000,3.03,27.67,48.14
1000,20000,5.82,63.96,114.64
1000,100000,34.65,759.25,1081.69
2000,1000,0.29,2.37,3.11
2000,2000,0.49,4.96,7.37
2000,4000,1.15,10.09,16.00
2000,10000,2.86,27.90,45.34
2000,20000,5.84,63.98,104.47
2000,100000,35.35,765.13,1038.35
4000,1000,0.27,2.39,3.11
4000,2000,0.53,4.88,7.30
4000,4000,1.07,10.14,16.09
4000,10000,2.87,27.96,45.75
4000,20000,5.72,64.13,103.88
4000,100000,36.04,769.56,1096.63
8000,1000,0.28,2.37,3.08
8000,2000,0.56,4.89,7.42
8000,4000,1.04,10.22,16.00
8000,10000,2.83,27.76,45.10
8000,20000,5.88,63.77,103.12
8000,100000,34.87,757.41,1069.72
40000,1000,0.29,2.38,3.02
40000,2000,0.53,4.87,7.10
40000,4000,1.04,10.17,16.01
40000,10000,2.74,28.23,46.53
40000,20000,5.56,66.06,105.41
40000,100000,34.96,758.78,1021.35
1000000,1000,0.28,2.36,3.93
1000000,2000,0.71,4.71,7.19
1000000,4000,0.99,10.29,16.83
1000000,10000,2.75,28.12,45.90
1000000,20000,5.61,64.48,103.25
1000000,100000,35.12,749.30,1073.87
2000000,1000,0.28,2.39,3.11
2000000,2000,0.58,4.84,7.31
2000000,4000,1.05,10.16,16.23
2000000,10000,2.87,27.86,45.94
2000000,20000,5.69,64.15,102.71
2000000,100000,35.68,753.42,1063.54
4000000,1000,0.49,2.18,3.12
4000000,2000,0.50,4.97,7.50
4000000,4000,1.00,10.26,16.47
4000000,10000,2.78,27.89,45.51
4000000,20000,5.85,63.60,106.87
4000000,100000,35.64,752.64,1073.56
8000000,1000,0.24,2.42,3.13
8000000,2000,0.57,4.84,7.30
8000000,4000,1.00,10.31,16.13
8000000,10000,2.80,27.99,45.03
8000000,20000,5.69,64.53,104.80
8000000,100000,34.88,740.28,1009.47
