file_size,file_count,user,system,total
1000,1000,0.42,3.91,21.20 
1000,2000,1.15,8.83,51.58 
1000,4000,2.44,19.48,75.32 
1000,10000,4.38,54.93,199.19 
1000,20000,11.06,136.92,430.48 
1000,100000,44.40,1572.63,3171.40 
2000,1000,0.47,3.93,18.68 
2000,2000,1.06,9.31,37.76 
2000,4000,2.27,19.47,76.19 
2000,10000,5.04,52.63,206.84 
2000,20000,7.63,117.81,422.44 
2000,100000,41.49,1310.76,2888.53 
4000,1000,0.38,3.92,18.25 
4000,2000,0.90,8.24,36.49 
4000,4000,2.08,19.06,82.47 
4000,10000,5.26,52.09,197.30 
4000,20000,7.93,115.52,415.85 
4000,100000,15.97,285.89,883.66 
8000,1000,0.36,3.96,18.43 
8000,2000,0.84,7.94,40.60 
8000,4000,2.27,19.18,79.68 
8000,10000,5.41,51.83,195.63 
8000,20000,8.27,113.97,430.66 
8000,100000,47.13,1293.10,2916.07 
40000,1000,0.43,3.95,18.53 
40000,2000,0.91,8.27,36.91 
40000,4000,2.24,19.34,78.70 
40000,10000,5.05,52.16,198.36 
40000,20000,8.43,114.20,425.19 
40000,100000,44.70,1357.88,2992.75 
1000000,1000,0.48,3.90,18.46 
1000000,2000,0.95,8.45,39.44 
1000000,4000,2.06,17.42,76.16 
1000000,10000,5.07,52.04,195.96 
1000000,20000,9.49,113.04,423.29 
1000000,100000,46.57,1280.46,2888.23 
2000000,1000,0.00,0.00,0.01 
2000000,2000,0.00,0.00,0.01 
2000000,4000,0.00,0.00,0.01 
2000000,10000,0.00,0.00,0.01 
2000000,20000,0.00,0.00,0.01 
2000000,100000,0.00,0.00,0.01 
4000000,1000,0.00,0.00,0.01 
4000000,2000,0.00,0.00,0.01 
4000000,4000,0.00,0.00,0.01 
4000000,10000,0.00,0.00,0.01 
4000000,20000,0.00,0.00,0.01 
4000000,100000,0.00,0.00,0.01 
8000000,1000,0.00,0.00,0.01 
8000000,2000,0.00,0.00,0.01 
8000000,4000,0.00,0.00,0.01 
8000000,10000,0.00,0.00,0.01 
8000000,20000,0.00,0.00,0.01 
8000000,100000,0.00,0.00,0.01 
