file_size,file_count,user,system,total
1000,1000,0.84,6.54,46.12
1000,2000,1.67,13.25,97.65
1000,4000,3.37,26.96,242.70
1000,10000,9.42,71.40,671.51
1000,20000,20.98,157.49,1786.28
1000,100000,121.38,1254.04,11590.0
2000,1000,0.85,6.53,49.58
2000,2000,1.75,13.17,100.85
2000,4000,3.55,26.78,237.29
2000,10000,9.47,70.86,650.78
2000,20000,21.73,156.84,2164.01
2000,100000,120.23,1213.24,12325.0
4000,1000,0.82,6.53,46.57
4000,2000,1.73,13.12,132.20
4000,4000,3.40,26.95,244.19
4000,10000,9.41,70.24,684.93
4000,20000,21.08,153.71,2135.04
4000,100000,,,
8000,1000,0.89,6.55,50.34 
8000,2000,1.72,13.20,96.87 
8000,4000,3.50,26.83,268.44 
8000,10000,9.63,70.40,641.97 
8000,20000,20.67,152.90,1918.98 
8000,100000,118.10,1163.83,13005.80 
40000,1000,0.81,6.57,66.89 
40000,2000,1.77,13.20,170.62 
40000,4000,3.51,26.98,279.40 
40000,10000,9.90,72.30,770.41 
40000,20000,22.26,160.66,2726.64 
40000,100000,118.81,1153.16,12169.85 
1000000,1000,1.02,10.21,62.25 
1000000,2000,2.08,20.69,128.00 
1000000,4000,4.22,41.66,312.31 
1000000,10000,10.87,106.93,792.28 
1000000,20000,23.65,229.25,2165.94 
1000000,100000,132.76,1620.08,12804.19 
