file_size,file_count,user,system,total
1000,1000,0.68,6.36,14.25
1000,2000,1.54,13.29,28.35
1000,4000,3.12,27.52,59.20
1000,10000,6.55,74.98,160.32
1000,20000,15.49,183.17,348.24
1000,100000,82.24,2066.45,2950.64
2000,1000,0.60,5.92,13.59
2000,2000,1.49,13.19,28.79
2000,4000,3.08,27.31,57.18
2000,10000,7.28,73.30,153.29
2000,20000,16.42,176.46,340.94
2000,100000,94.62,1951.39,2838.14
4000,1000,0.66,6.03,13.86
4000,2000,1.51,13.15,28.94
4000,4000,3.18,27.25,58.85
4000,10000,7.11,73.16,152.65
4000,20000,15.03,169.66,331.49
4000,100000,86.54,1904.70,2807.98
8000,1000,0.70,6.50,14.34
8000,2000,1.58,13.29,28.83
8000,4000,3.09,27.43,57.57
8000,10000,6.96,73.60,153.56
8000,20000,14.97,171.80,333.77
8000,100000,84.62,1905.74,2805.01
40000,1000,0.72,6.37,14.17
40000,2000,1.54,13.22,28.55
40000,4000,3.07,27.48,61.22
40000,10000,6.84,74.78,158.33
40000,20000,16.07,181.58,348.76
40000,100000,89.77,1974.30,2855.92
1000000,1000,0.77,6.59,14.29
1000000,2000,1.55,13.34,28.62
1000000,4000,3.06,27.54,58.57
1000000,10000,6.87,73.82,153.08
1000000,20000,15.88,175.83,338.06
1000000,100000,85.45,1922.99,2815.50
2000000,1000,0.73,6.55,14.25
2000000,2000,1.49,12.93,28.13
2000000,4000,3.26,27.14,58.23
2000000,10000,6.85,73.74,155.61
2000000,20000,15.28,174.34,334.45
2000000,100000,83.72,1905.89,2798.53
4000000,1000,0.77,6.53,17.43
4000000,2000,1.45,13.10,28.87
4000000,4000,3.02,27.49,58.92
4000000,10000,7.15,73.48,153.79
4000000,20000,16.05,173.79,336.46
4000000,100000,86.12,1917.26,2882.73
8000000,1000,0.64,6.39,13.96
8000000,2000,1.51,13.41,28.72
8000000,4000,3.07,27.59,58.18
8000000,10000,6.61,75.44,161.71
8000000,20000,15.38,183.77,354.97
8000000,100000,101.38,2352.62,3281.53
