file_size,file_count,dir_count,pool_count,create,archive20,archive100,archive500,archive1000,archive2000,archive10000
1000,9000,9,1,540.0,4200,1740,,1620,,
1000000,9000,1,9,1080.0,,2040,,1920,,
5000000,9000,1,9,1740.0,,2400,,2400,,
10000000,9000,1,9,2340.0,,3420,,,,
5000000,90000,1,9,18720.0,,,,,22080,
5000000,90000,1,9,20400.0,,,,,,
5000000,90000,9,1,19500.0,,,,,,30000
1000,90000,9,1,19620.0,,,36000,,,
5000000,10000,90,1,23400.0,,,,24600,,
5000000,40000,2,1,16920.0,,,,24600,,
1000000,36000,9,2,7058.0,,,,,10200,
5000000,36000,9,2,10459.0,,,,,15720,
